respondentid,do_you_typically_check_a_daily_weather_report,how_do_you_typically_check_the_weather,a_specific_website_or_app_please_provide_the_answer,if_you_had_a_smartwatch_like_the_soon_to_be_released_apple_watch_how_likely_or_unlikely_would_you_be_to_check_the_weather_on_that_device,age,what_is_your_gender,how_much_total_combined_money_did_all_members_of_your_household_earn_last_year,us_region
3885026185,False,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$75,000 to $99,999",Pacific
3884998535,True,A specific website or app (please provide the answer),Weather Timeline (android),Very unlikely,30 - 44,Male,"$125,000 to $149,999",Pacific
3884960044,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$100,000 to $124,999",South Atlantic
3884902653,False,The default weather app on your phone,-,Very likely,18 - 29,Male,"$25,000 to $49,999",Mountain
3884859930,True,Local TV News,-,Somewhat unlikely,30 - 44,Male,"$10,000 to $24,999",West South Central
3884813859,False,Internet search,-,Very unlikely,18 - 29,Male,"$0 to $9,999",Pacific
3884790873,True,The default weather app on your phone,-,Very likely,18 - 29,Male,"$0 to $9,999",West North Central
3884694722,True,The Weather Channel,-,Very likely,18 - 29,Male,"$100,000 to $124,999",New England
3884500697,True,The Weather Channel,-,Very unlikely,18 - 29,Male,"$25,000 to $49,999",South Atlantic
3883994422,True,Radio weather,-,Very likely,18 - 29,Male,"$0 to $9,999",East South Central
3883947693,False,Internet search,-,Somewhat likely,18 - 29,Male,Prefer not to answer,Pacific
3883852529,False,Radio weather,-,Somewhat unlikely,18 - 29,Male,"$75,000 to $99,999",Pacific
3883822504,True,A specific website or app (please provide the answer),Weatherbug,Somewhat likely,18 - 29,Male,"$0 to $9,999",West South Central
3883792972,True,The Weather Channel,-,Very unlikely,30 - 44,Male,Prefer not to answer,West South Central
3883744850,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",West South Central
3883706735,False,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Male,Prefer not to answer,Pacific
3883706220,True,Internet search,-,Somewhat likely,18 - 29,Male,Prefer not to answer,New England
3883591931,True,A specific website or app (please provide the answer),1 weather,Very likely,30 - 44,Male,"$150,000 to $174,999",South Atlantic
3883449927,False,Local TV News,-,Very unlikely,18 - 29,Male,"$0 to $9,999",Pacific
3883423513,False,Internet search,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",Mountain
3883400954,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$200,000 and up",South Atlantic
3883396110,False,Newsletter,-,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",-
3883373140,True,Local TV News,-,Somewhat likely,30 - 44,Male,"$10,000 to $24,999",New England
3883347727,True,The default weather app on your phone,-,Somewhat unlikely,30 - 44,Male,"$100,000 to $124,999",New England
3883237358,False,The Weather Channel,-,Very unlikely,18 - 29,Male,"$50,000 to $74,999",Middle Atlantic
3883013307,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,"$10,000 to $24,999",South Atlantic
3882981067,False,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$50,000 to $74,999",Pacific
3882953969,True,The default weather app on your phone,-,Very unlikely,30 - 44,Male,"$75,000 to $99,999",Mountain
3882828486,True,Internet search,-,Very unlikely,30 - 44,Male,"$50,000 to $74,999",West South Central
3882734383,True,A specific website or app (please provide the answer),Weather Channel app,Very likely,30 - 44,Male,"$50,000 to $74,999",East North Central
3882036173,True,Internet search,-,Very likely,30 - 44,Male,"$100,000 to $124,999",Pacific
3882027944,True,A specific website or app (please provide the answer),"Weather Underground, also local tv news half the time.",Somewhat likely,30 - 44,Male,"$10,000 to $24,999",West North Central
3882024847,True,Internet search,-,Very likely,45 - 59,Male,"$125,000 to $149,999",Mountain
3881999864,True,A specific website or app (please provide the answer),weatherbug app,Very likely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3881965206,False,Internet search,-,Somewhat likely,18 - 29,Male,"$75,000 to $99,999",South Atlantic
3881590664,True,A specific website or app (please provide the answer),weather bug,Very unlikely,30 - 44,Male,"$75,000 to $99,999",East North Central
3881586024,True,Internet search,-,Very unlikely,45 - 59,Male,"$150,000 to $174,999",South Atlantic
3881268852,True,Internet search,-,Somewhat likely,18 - 29,Male,Prefer not to answer,-
3881207655,True,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$25,000 to $49,999",Pacific
3881152975,False,A specific website or app (please provide the answer),The Weather Channel app,Somewhat likely,45 - 59,Male,"$200,000 and up",Pacific
3881043805,True,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$25,000 to $49,999",South Atlantic
3880998411,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic
3880901650,True,Internet search,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3880901309,True,The Weather Channel,-,Very unlikely,45 - 59,Male,"$10,000 to $24,999",Mountain
3880839674,True,Internet search,-,Somewhat likely,45 - 59,Male,"$200,000 and up",Pacific
3880831944,True,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$25,000 to $49,999",East North Central
3880760866,True,Newspaper,-,Very likely,45 - 59,Male,"$0 to $9,999",South Atlantic
3880684514,True,The Weather Channel,-,Very likely,45 - 59,Male,"$25,000 to $49,999",Middle Atlantic
3880658899,True,A specific website or app (please provide the answer),FancyClock app on my phone and accuweather.com,Very likely,45 - 59,Male,"$125,000 to $149,999",Mountain
3880648847,True,Local TV News,-,Very unlikely,45 - 59,Male,"$0 to $9,999",East North Central
3880644828,True,Radio weather,-,Somewhat likely,18 - 29,Male,Prefer not to answer,Pacific
3880589507,True,A specific website or app (please provide the answer),GOES West Satalite,Very unlikely,45 - 59,Male,"$75,000 to $99,999",Pacific
3880580324,True,A specific website or app (please provide the answer),Intellicast / Storm,Very likely,45 - 59,Male,"$150,000 to $174,999",South Atlantic
3880574320,True,Local TV News,-,Somewhat likely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3880465916,False,Internet search,-,Somewhat unlikely,30 - 44,Male,"$0 to $9,999",West North Central
3880464921,False,The Weather Channel,-,Somewhat likely,30 - 44,Male,"$75,000 to $99,999",South Atlantic
3880459984,True,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",West South Central
3880448211,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$175,000 to $199,999",Middle Atlantic
3880441785,True,A specific website or app (please provide the answer),ipod weather ,Very likely,45 - 59,Male,"$50,000 to $74,999",South Atlantic
3880438117,True,A specific website or app (please provide the answer),weatherbug,Somewhat unlikely,45 - 59,Male,"$100,000 to $124,999",East North Central
3880436782,True,Newspaper,-,Very unlikely,45 - 59,Male,"$200,000 and up",South Atlantic
3880427365,True,A specific website or app (please provide the answer),weatherbug.com,Very unlikely,45 - 59,Male,"$200,000 and up",New England
3880377127,False,Internet search,-,Somewhat likely,45 - 59,Male,"$125,000 to $149,999",Pacific
3880323654,True,Local TV News,-,Very unlikely,45 - 59,Male,"$125,000 to $149,999",West South Central
3880319089,False,A specific website or app (please provide the answer),iphone weather app,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",South Atlantic
3880303554,True,A specific website or app (please provide the answer),Weather Bug,Very likely,45 - 59,Male,"$150,000 to $174,999",East North Central
3880299725,True,A specific website or app (please provide the answer),Accuweather,Somewhat unlikely,45 - 59,Male,"$50,000 to $74,999",East North Central
3880256330,True,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",Pacific
3880230736,True,The Weather Channel,-,Very unlikely,45 - 59,Male,"$150,000 to $174,999",South Atlantic
3880219305,False,Internet search,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",Pacific
3880210450,True,The Weather Channel,-,Very likely,45 - 59,Male,"$100,000 to $124,999",Pacific
3880208319,True,Internet search,-,Somewhat likely,30 - 44,Male,"$100,000 to $124,999",West South Central
3880187634,True,Internet search,-,Very unlikely,45 - 59,Male,"$10,000 to $24,999",Pacific
3880162442,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Male,Prefer not to answer,Middle Atlantic
3880131987,True,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$150,000 to $174,999",Pacific
3880129691,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$125,000 to $149,999",South Atlantic
3880099657,True,Local TV News,-,Very unlikely,45 - 59,Male,Prefer not to answer,Mountain
3880086571,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$150,000 to $174,999",Pacific
3880033304,True,Local TV News,-,Very likely,18 - 29,Male,"$0 to $9,999",Middle Atlantic
3879970050,True,The default weather app on your phone,-,Very likely,18 - 29,Female,Prefer not to answer,South Atlantic
3879946254,True,The Weather Channel,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3879934990,False,Local TV News,-,Very unlikely,45 - 59,Male,"$100,000 to $124,999",East North Central
3879902865,True,Radio weather,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",Middle Atlantic
3879887212,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$175,000 to $199,999",Pacific
3879876964,False,Radio weather,-,Somewhat likely,18 - 29,Male,"$0 to $9,999",South Atlantic
3879874372,True,Local TV News,-,Very likely,45 - 59,Male,"$200,000 and up",West South Central
3879823141,True,The Weather Channel,-,Very unlikely,45 - 59,Male,"$200,000 and up",Pacific
3879815451,False,Newspaper,-,Somewhat likely,45 - 59,Male,"$75,000 to $99,999",Middle Atlantic
3879622928,True,The Weather Channel,-,Very unlikely,18 - 29,Male,"$100,000 to $124,999",West North Central
3879622165,True,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$10,000 to $24,999",Middle Atlantic
3879618163,True,A specific website or app (please provide the answer),weather channel app,Very likely,45 - 59,Male,"$25,000 to $49,999",East North Central
3879505742,False,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3879492127,True,Internet search,-,Somewhat likely,18 - 29,Male,"$50,000 to $74,999",East South Central
3879466790,False,Newsletter,-,Very likely,18 - 29,Male,Prefer not to answer,-
3879405493,False,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,"$125,000 to $149,999",Pacific
3879399705,False,The Weather Channel,-,Somewhat likely,30 - 44,Male,"$50,000 to $74,999",Mountain
3879387300,True,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$200,000 and up",New England
3879361333,True,A specific website or app (please provide the answer),www.wunderground.com,Very likely,45 - 59,Male,"$25,000 to $49,999",West South Central
3879332676,True,A specific website or app (please provide the answer),The Weather Channel,Very likely,45 - 59,Male,"$75,000 to $99,999",East North Central
3879327814,True,A specific website or app (please provide the answer),noaa.gov,Somewhat likely,45 - 59,Male,Prefer not to answer,New England
3879326602,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$100,000 to $124,999",East North Central
3879325675,False,Newspaper,-,Very unlikely,18 - 29,Male,Prefer not to answer,-
3879323844,True,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$25,000 to $49,999",Pacific
3879315853,True,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$75,000 to $99,999",West North Central
3879274139,True,Local TV News,-,Somewhat likely,60+,Female,"$100,000 to $124,999",East North Central
3879266798,True,The Weather Channel,-,Very likely,60+,Female,"$75,000 to $99,999",East North Central
3879261981,True,The Weather Channel,-,Very likely,60+,Female,Prefer not to answer,South Atlantic
3879258283,True,Internet search,-,Very likely,60+,Female,"$50,000 to $74,999",New England
3879248890,True,A specific website or app (please provide the answer),1weather,Very likely,60+,Female,"$50,000 to $74,999",West North Central
3879245036,True,A specific website or app (please provide the answer),yahoo,Very likely,60+,Female,"$100,000 to $124,999",Pacific
3879210502,True,Internet search,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",West South Central
3879207640,True,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$25,000 to $49,999",South Atlantic
3879205854,True,The default weather app on your phone,-,Very unlikely,18 - 29,Male,"$100,000 to $124,999",New England
3879196296,True,Local TV News,-,Very likely,60+,Female,"$50,000 to $74,999",South Atlantic
3879194705,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$10,000 to $24,999",Mountain
3879189511,True,The default weather app on your phone,-,Very likely,30 - 44,Male,"$100,000 to $124,999",South Atlantic
3879186514,True,Local TV News,-,Very likely,60+,Female,Prefer not to answer,West South Central
3879159385,True,The default weather app on your phone,-,Very likely,60+,Female,"$50,000 to $74,999",Mountain
3879157578,False,Local TV News,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",East North Central
3879152338,False,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$125,000 to $149,999",South Atlantic
3879139489,True,Newsletter,-,Very unlikely,60+,Female,"$75,000 to $99,999",West South Central
3879106766,True,The default weather app on your phone,-,Very likely,60+,Male,"$0 to $9,999",Middle Atlantic
3879102520,True,Local TV News,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3879102450,True,The Weather Channel,-,Somewhat likely,60+,Female,"$75,000 to $99,999",East South Central
3879094933,True,Internet search,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3879090979,True,The default weather app on your phone,-,Somewhat likely,60+,Male,"$200,000 and up",New England
3879055766,True,A specific website or app (please provide the answer),Weather Bug App,Very unlikely,45 - 59,Male,"$125,000 to $149,999",Middle Atlantic
3879048742,True,The default weather app on your phone,-,Somewhat likely,45 - 59,Male,Prefer not to answer,South Atlantic
3879043041,True,Local TV News,-,Somewhat unlikely,60+,Female,"$75,000 to $99,999",East North Central
3879024100,True,Radio weather,-,Very likely,60+,Male,"$100,000 to $124,999",West North Central
3879022427,True,A specific website or app (please provide the answer),Yo Window,Very unlikely,60+,Female,"$25,000 to $49,999",East North Central
3879018623,True,The Weather Channel,-,Somewhat likely,60+,Female,"$100,000 to $124,999",Middle Atlantic
3879014394,True,A specific website or app (please provide the answer),Weather bug,Somewhat unlikely,60+,Male,"$50,000 to $74,999",Middle Atlantic
3878997264,True,A specific website or app (please provide the answer),Dark Sky,Very likely,60+,Male,"$200,000 and up",Middle Atlantic
3878995654,True,Internet search,-,Very unlikely,45 - 59,Male,"$175,000 to $199,999",Middle Atlantic
3878993313,True,Local TV News,-,Very unlikely,60+,Female,"$100,000 to $124,999",West South Central
3878975679,True,Local TV News,-,Somewhat unlikely,60+,Female,"$10,000 to $24,999",South Atlantic
3878973380,True,The Weather Channel,-,Very likely,45 - 59,Male,"$75,000 to $99,999",East South Central
3878972273,True,The default weather app on your phone,-,Very unlikely,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
3878971737,True,The Weather Channel,-,Very likely,60+,Female,"$50,000 to $74,999",New England
3878964663,True,Radio weather,-,Somewhat unlikely,60+,Female,"$75,000 to $99,999",Middle Atlantic
3878957212,False,Local TV News,-,Very unlikely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3878949789,True,A specific website or app (please provide the answer),Weatherbug,Somewhat likely,60+,Male,"$125,000 to $149,999",Middle Atlantic
3878945643,True,Local TV News,-,Somewhat likely,60+,Male,"$25,000 to $49,999",Middle Atlantic
3878940858,True,Local TV News,-,Somewhat unlikely,60+,Male,"$0 to $9,999",-
3878922314,True,The default weather app on your phone,-,Somewhat unlikely,45 - 59,Male,"$175,000 to $199,999",East North Central
3878908574,True,The Weather Channel,-,Very likely,45 - 59,Male,"$175,000 to $199,999",West North Central
3878851367,True,Internet search,-,Very likely,60+,Female,Prefer not to answer,East North Central
3878801345,True,Local TV News,-,Very likely,60+,Male,"$100,000 to $124,999",South Atlantic
3878776250,True,Local TV News,-,Very unlikely,60+,Male,Prefer not to answer,South Atlantic
3878773688,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East North Central
3878724412,True,Internet search,-,Very unlikely,45 - 59,Male,"$100,000 to $124,999",West South Central
3878675581,True,The default weather app on your phone,-,Very likely,18 - 29,Male,"$10,000 to $24,999",Middle Atlantic
3878672825,True,A specific website or app (please provide the answer),Accuweather,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3878664404,True,Newsletter,-,Very likely,60+,Male,"$50,000 to $74,999",Pacific
3878664002,True,A specific website or app (please provide the answer),aol,Somewhat unlikely,60+,Male,"$25,000 to $49,999",East North Central
3878617605,False,Radio weather,-,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3878604937,False,Internet search,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
3878604458,True,Local TV News,-,Somewhat likely,30 - 44,Female,"$0 to $9,999",East South Central
3878594142,False,Newspaper,-,Very unlikely,30 - 44,Female,"$10,000 to $24,999",-
3878581130,True,Local TV News,-,Somewhat likely,60+,Female,"$75,000 to $99,999",East North Central
3878580386,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878574698,True,A specific website or app (please provide the answer),NOAA and The Weather Channel,Very unlikely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878562127,False,Local TV News,-,Very unlikely,60+,Male,Prefer not to answer,Pacific
3878555115,True,A specific website or app (please provide the answer),weatherbug,Somewhat likely,30 - 44,Female,Prefer not to answer,Pacific
3878547877,False,Internet search,-,Somewhat unlikely,60+,Female,"$50,000 to $74,999",Pacific
3878539231,False,Internet search,-,Somewhat likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3878537531,False,The default weather app on your phone,-,Very unlikely,60+,Male,Prefer not to answer,Pacific
3878536105,True,A specific website or app (please provide the answer),Weather Kitty,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878534855,True,Newspaper,-,Very unlikely,60+,Female,"$100,000 to $124,999",Pacific
3878533095,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$0 to $9,999",West North Central
3878527607,False,The default weather app on your phone,-,Somewhat unlikely,60+,Female,"$50,000 to $74,999",Pacific
3878526543,True,A specific website or app (please provide the answer),"Internet, tv, radio, newspaper",Very likely,60+,Male,"$200,000 and up",Middle Atlantic
3878522121,True,The Weather Channel,-,Very unlikely,45 - 59,Male,"$25,000 to $49,999",Middle Atlantic
3878521585,False,A specific website or app (please provide the answer),App on Iphone,Somewhat unlikely,30 - 44,Female,"$10,000 to $24,999",Pacific
3878520921,True,The default weather app on your phone,-,Very likely,60+,Female,"$175,000 to $199,999",Pacific
3878517202,True,Internet search,-,Somewhat likely,60+,Female,"$50,000 to $74,999",East North Central
3878516380,True,A specific website or app (please provide the answer),yr.no,Somewhat likely,30 - 44,Female,Prefer not to answer,-
3878513419,False,The default weather app on your phone,-,Very unlikely,60+,Male,Prefer not to answer,Pacific
3878510837,False,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",Pacific
3878488034,True,The default weather app on your phone,-,Very likely,60+,Male,"$100,000 to $124,999",Pacific
3878487715,True,Newspaper,-,Somewhat likely,60+,Female,Prefer not to answer,Pacific
3878487142,False,Internet search,-,Very unlikely,60+,Female,"$100,000 to $124,999",West North Central
3878483534,False,Internet search,-,Somewhat likely,60+,Male,Prefer not to answer,Pacific
3878479362,True,The Weather Channel,-,Very likely,30 - 44,Female,"$50,000 to $74,999",Pacific
3878466821,True,A specific website or app (please provide the answer),weather.com,Very likely,60+,Female,Prefer not to answer,Pacific
3878465693,True,The default weather app on your phone,-,Very likely,30 - 44,Female,Prefer not to answer,Mountain
3878464503,True,Newspaper,-,Very unlikely,60+,Female,"$150,000 to $174,999",Pacific
